id,name,typing,classification,height_m,weight_kg,capture_rate,abilities,hp,atk,def,sp_atk,sp_def,spd,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fighting,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy
1,Bulbasaur,"['Grass', 'Poison']",Seed Pokémon,0.7,6.9,45,['Overgrow'],45,49,49,65,65,45,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,Ivysaur,"['Grass', 'Poison']",Seed Pokémon,1.0,13.0,45,['Overgrow'],60,62,63,80,80,60,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Venusaur,"['Grass', 'Poison']",Seed Pokémon,2.0,100.0,45,['Overgrow'],80,82,83,100,100,80,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,Charmander,['Fire'],Lizard Pokémon,0.6,8.5,45,['Blaze'],39,52,43,60,50,65,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,Charmeleon,['Fire'],Flame Pokémon,1.1,19.0,45,['Blaze'],58,64,58,80,65,80,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,Charizard,"['Fire', 'Flying']",Flame Pokémon,1.7,90.5,45,['Blaze'],78,84,78,109,85,100,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,Squirtle,['Water'],Tiny Turtle Pokémon,0.5,9.0,45,['Torrent'],44,48,65,50,64,43,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
8,Wartortle,['Water'],Turtle Pokémon,1.0,22.5,45,['Torrent'],59,63,80,65,80,58,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,Blastoise,['Water'],Shellfish Pokémon,1.6,85.5,45,['Torrent'],79,83,100,85,105,78,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,Caterpie,['Bug'],Worm Pokémon,0.3,2.9,255,['Shield Dust'],45,30,35,20,20,45,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
